product,store,price,category,price_numeric
"Casino BIO Kozí sýr, váleček",kosik,732.67,Sýry,732.67
Violife Plátky s čedarovým aroma,kosik,629.00,Mléčné,629.0
Liptov Pološtiepok na gril s pikantní omáčkou 4 ks,kosik,396.21,Sýry,396.21
Sedlčanský Hermelín do Burgeru (2x80g),kosik,374.38,Sýry,374.38
Liptov Gouda bez laktózy,kosik,410.00,Mléčné,410.0
Krajánek sýr na pánev i na gril 2x 50 g s nivou,kosik,369.00,Sýry,369.0
Veselá Kráva Sýr a Křup s šunkovou příchutí snack,kosik,597.14,Mléčné,597.14
Veselá Kráva Bylinková Tavený sýr,kosik,399.00,Sýry,399.0
Veselá Kráva Sýr a Křup Pizza snack,kosik,568.57,Mléčné,568.57
Krajánek sýr na pánev i na gril 2x 50 g s bylinkami a sušenými rajčaty,kosik,369.00,Sýry,369.0
Fine Life Parenica uzená,kosik,335.42,Sýry,335.42
Violife Le Rond s ušlechtilou plísní,kosik,699.33,Mléčné,699.33
Liptov Bryndza bez laktózy,kosik,390.00,Sýry,390.0
Violife Plátky s uzenou příchutí,kosik,629.00,Mléčné,629.0
Balsýr na gril 45% t. v s. 2x 100 g bylinky,kosik,274.50,Sýry,274.5
Violife Uzený blok,kosik,349.50,Mléčné,349.5
Fine Life Nitě sýrové uzené,kosik,349.00,Sýry,349.0
Violife Grill me! Mediterranean style,kosik,499.50,Mléčné,499.5
Fine Life Brynza sýr plnotučný,kosik,295.20,Sýry,295.2
Fine Life Parenica neuzená,kosik,335.42,Sýry,335.42
Balsýr na gril 45% t. v s. 2x 100 g pikant a česnek,kosik,274.50,Sýry,274.5
Fine Life Eidam 30 % bloček,kosik,199.50,Sýry,199.5
Krolewski sýr plátky (45%),kosik,299.00,Sýry,299.0
Král Sýrů Hermelín originál,kosik,474.17,Sýry,474.17
Zlatý Sýr Gouda plátky (48%),kosik,349.00,Sýry,349.0
Madeta Eidam jihočeský plátkový (30%),kosik,352.00,Sýry,352.0
Gran Moravia strouhaný,kosik,739.00,Sýry,739.0
Formagia Mozzarella ,kosik,311.20,Sýry,311.2
Gran Moravia čerstvě strouhaný,kosik,831.67,Sýry,831.67
Metro Chef Halloumi,kosik,474.50,Sýry,474.5
Krajanka Žervé,kosik,229.00,Sýry,229.0
Šumavský Eidam strouhaný (30%),kosik,399.00,Sýry,399.0
Formagia tvrdý sýr,kosik,499.44,Sýry,499.44
"Olomoucké tvarůžky, malé",kosik,399.00,Sýry,399.0
Krolewski Sýr light plátky,kosik,299.00,Sýry,299.0
Gervais Original,kosik,286.25,Sýry,286.25
Korbáč slaný,kosik,758.00,Sýry,758.0
Král Sýrů Hermelín originál Duopack 2x120 g,kosik,478.75,Sýry,478.75
Sedlčanský Hermelín originál,kosik,459.00,Sýry,459.0
"Krolewski Sýr L.Casei 45%, plátky",kosik,299.00,Sýry,299.0
Blaník Toast plátkový sýr (35%),kosik,291.54,Sýry,291.54
Kromilk Přírodní čerstvý sýr smetanový,kosik,369.00,Sýry,369.0
Madeta Jihočeský Cottage natur,kosik,199.33,Sýry,199.33
Gervais Original FIT Protein,kosik,286.25,Sýry,286.25
Madeta Jihočeský Eidam plátky (45%),kosik,352.00,Sýry,352.0
Madeta Jihočeská Niva 45%,kosik,389.00,Sýry,389.0
